PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001284,Hertsmere,East of England, 40.82 , 34.72 , 5.88 , 3.51 , 13.36 , -   , -   , 1.71 , 32.80 , 26.15 , 1.81 , 0.56 , 6.44 , -   , -   , 0.36 , 48.11 , 43.28 , 13.10 , 10.01 , 22.74 , -   , -   , 4.42 
E14001285,Hexham,North East, 35.65 , 54.49 , 5.90 , 2.49 , -   , -   , -   , 1.47 , 28.12 , 44.23 , 1.81 , 0.36 , -   , -   , -   , 0.26 , 44.44 , 63.80 , 13.43 , 7.96 , -   , -   , -   , 4.56 
E14001286,Heywood and Middleton North,North West, 20.26 , 56.97 , 8.42 , -   , 11.33 , -   , -   , 3.01 , 14.50 , 46.84 , 2.87 , -   , 5.38 , -   , -   , 0.66 , 26.39 , 66.45 , 17.77 , -   , 19.09 , -   , -   , 7.82 
E14001287,High Peak,East Midlands, 23.68 , 56.91 , 2.20 , 2.25 , 14.96 , -   , -   , -   , 17.62 , 48.30 , 0.48 , 0.25 , 7.03 , -   , -   , -   , 29.81 , 65.02 , 6.44 , 7.58 , 24.71 , -   , -   , -   
E14001288,Hinckley and Bosworth,East Midlands, 30.69 , 31.40 , 13.54 , 7.37 , 15.85 , -   , -   , 1.15 , 23.96 , 23.63 , 6.21 , 2.41 , 8.17 , -   , -   , 0.21 , 37.91 , 40.21 , 23.22 , 15.50 , 26.60 , -   , -   , 3.48 
E14001289,Hitchin,East of England, 28.45 , 38.08 , 18.92 , 2.63 , 9.66 , -   , -   , 2.26 , 22.47 , 28.97 , 10.61 , 0.45 , 4.90 , -   , -   , 0.53 , 34.41 , 47.24 , 28.66 , 6.90 , 16.70 , -   , -   , 5.89 
E14001290,Holborn and St Pancras,London, 10.54 , 55.42 , 7.39 , 12.01 , 5.05 , -   , -   , 9.58 , 8.12 , 48.10 , 4.35 , 7.00 , 2.76 , -   , -   , 4.78 , 13.17 , 62.99 , 12.06 , 17.91 , 8.30 , -   , -   , 16.06 
E14001291,Honiton and Sidmouth,South West, 23.86 , 18.57 , 33.94 , 4.39 , 18.00 , -   , -   , 1.24 , 16.78 , 12.23 , 21.13 , 1.00 , 9.86 , -   , -   , 0.23 , 31.71 , 26.10 , 47.75 , 10.07 , 27.68 , -   , -   , 3.87 
E14001292,Hornchurch and Upminster,London, 29.40 , 36.33 , 10.44 , 2.33 , 17.40 , -   , -   , 4.09 , 21.26 , 25.88 , 3.67 , 0.27 , 9.21 , -   , -   , 0.92 , 38.06 , 46.99 , 20.90 , 7.55 , 29.43 , -   , -   , 10.30 
E14001293,Hornsey and Friern Barnet,London, 12.50 , 60.92 , 11.01 , 5.83 , 4.74 , -   , -   , 5.00 , 8.97 , 49.25 , 3.49 , 1.68 , 1.76 , -   , -   , 1.10 , 16.44 , 71.22 , 21.84 , 13.65 , 9.15 , -   , -   , 12.80 
E14001294,Horsham,South East, 30.27 , 19.79 , 33.16 , 7.89 , 8.36 , -   , -   , 0.53 , 22.88 , 13.20 , 22.41 , 2.44 , 4.33 , -   , -   , 0.09 , 37.27 , 26.54 , 44.44 , 16.03 , 15.10 , -   , -   , 1.72 
E14001295,Houghton and Sunderland South,North East, 12.90 , 51.49 , 5.11 , 3.78 , 26.73 , -   , -   , -   , 8.94 , 40.23 , 1.22 , 0.59 , 14.92 , -   , -   , -   , 17.46 , 62.98 , 12.88 , 10.10 , 39.91 , -   , -   , -   
E14001296,Hove and Portslade,South East, 18.86 , 64.82 , 3.64 , 4.30 , 6.28 , -   , -   , 2.09 , 14.70 , 56.35 , 0.97 , 0.95 , 2.88 , -   , -   , 0.46 , 23.47 , 72.39 , 8.59 , 10.71 , 11.34 , -   , -   , 5.57 
E14001297,Huddersfield,Yorkshire and The Humber, 17.07 , 52.23 , 4.71 , 13.91 , 12.08 , -   , -   , -   , 12.76 , 42.47 , 1.37 , 5.94 , 6.31 , -   , -   , -   , 22.34 , 60.66 , 10.87 , 25.42 , 19.42 , -   , -   , -   
