2019 MP + Result,Constituency + Forecast,,,Code,Region,,CON,LAB,LDM,RFM,GRN,SNP,PLC,OTH,Tot,,Maj,Maj,,21.0%,40.9%,11.5%,15.9%,6.1%,3.5%,1.1%,,Result,,GE2019 RESULTS,,,,,,,,Tot,Vote Share Change,,,,,,,
James Morris,CON,LAB,Halesowen,E14001261,West Midlands,,29.4%,43.6%,3.4%,18.8%,4.5%,,,0.3%,LAB,,14.2%,"6,184",,"12,864","19,048","1,501","8,209","1,959",0,111,,LAB GAIN,,60.2%,32.6%,3.5%,0.0%,2.4%,0.0%,0.0%,1.2%,CON,-31.0%,+11.4%,+0.1%,+18.4%,+2.1%,,,-1.0%
Holly Lynch,LAB,LAB,Halifax,E14001262,Yorkshire and the Humber,,15.2%,52.4%,5.1%,21.3%,5.4%,,,0.7%,LAB,,31.1%,"14,858",,"7,245","25,044","2,419","10,185","2,591",0,311,,LAB HOLD,x,41.7%,45.7%,4.8%,5.9%,2.0%,0.0%,0.0%,0.0%,LAB,-26.7%,+6.9%,+0.5%,+15.0%,+3.6%,,,+0.6%
Unknown (new seat),CON,CON,Hamble Valley,E14001263,South East,,33.3%,19.0%,25.1%,16.9%,5.2%,,,0.5%,CON,,8.2%,"4,672",,"18,981","10,856","14,309","9,628","2,986",0,301,,CON HOLD,,62.2%,13.6%,21.1%,0.0%,3.2%,0.0%,0.0%,0.0%,CON,-29.1%,+5.4%,+4.5%,+16.4%,+2.3%,,,+0.5%
Andy Slaughter,LAB,LAB,Hammersmith and Chiswick,E14001264,Greater London,,17.8%,56.4%,8.1%,8.5%,8.4%,,,0.8%,LAB,,38.6%,"20,571",,"9,491","30,061","4,320","4,523","4,493",0,406,,LAB HOLD,,30.5%,50.8%,13.9%,1.8%,3.1%,0.0%,0.0%,0.0%,LAB,-12.9%,+5.7%,-5.5%,+6.5%,+5.5%,,,+0.8%
Tulip Siddiq,LAB,LAB,Hampstead and Highgate,E14001265,Greater London,,12.3%,52.6%,17.2%,7.2%,9.7%,,,1.0%,LAB,,35.4%,"20,335",,"7,035","30,191","9,856","4,133","5,566",0,594,,LAB HOLD,,23.2%,47.6%,24.3%,1.3%,3.7%,0.0%,0.0%,0.0%,LAB,-10.9%,+3.9%,-6.5%,+5.8%,+6.8%,,,+1.0%
Neil O'Brien,CON,LAB,"Harborough, Oadby and Wigston",E14001266,East Midlands,,26.6%,36.4%,12.6%,18.1%,5.7%,,,0.6%,LAB,,9.8%,"5,153",,"13,972","19,125","6,640","9,517","3,004",0,334,,LAB GAIN,,54.5%,24.8%,17.0%,0.0%,3.1%,0.0%,0.0%,0.7%,CON,-28.2%,+11.8%,-3.9%,+17.7%,+2.8%,,,-0.1%
Robert Halfon,CON,LAB,Harlow,E14001267,East of England,,31.6%,38.3%,4.7%,20.3%,4.4%,,,0.6%,LAB,,6.7%,"3,181",,"14,993","18,175","2,243","9,632","2,068",0,284,,LAB GAIN,,64.6%,29.3%,5.9%,0.0%,0.3%,0.0%,0.0%,0.0%,CON,-32.5%,+8.3%,-0.8%,+19.9%,+4.5%,,,+0.6%
Unknown (new seat),CON,LDM,Harpenden and Berkhamsted,E14001268,East of England,,25.1%,15.7%,39.8%,15.4%,3.4%,,,0.6%,LDM,,14.7%,"8,225",,"13,979","8,735","22,204","8,582","1,890",0,343,,LDM GAIN,,52.3%,10.6%,25.3%,0.0%,1.6%,0.0%,0.0%,10.2%,CON,-27.7%,+5.0%,+15.3%,+15.0%,+1.8%,,,-9.6%
Andrew Jones,CON,LDM,Harrogate and Knaresborough,E14001269,Yorkshire and the Humber,,24.0%,12.9%,42.7%,16.8%,2.9%,,,0.7%,LDM,,18.7%,"10,390",,"13,334","7,149","23,724","9,328","1,619",0,407,,LDM GAIN,,52.0%,9.6%,36.2%,0.0%,0.1%,0.0%,0.0%,2.2%,CON,-28.4%,+3.2%,+7.3%,+16.5%,+2.9%,,,-1.4%
Bob Blackman,CON,LAB,Harrow East,E14001270,Greater London,,38.4%,43.0%,3.7%,10.9%,3.3%,,,0.6%,LAB,,4.6%,"2,404",,"20,090","22,494","1,935","5,695","1,732",0,319,,LAB GAIN,,54.6%,37.4%,7.5%,0.2%,0.3%,0.0%,0.0%,0.0%,CON,-16.4%,+5.7%,-3.6%,+10.6%,+3.1%,,,+0.7%
Gareth Thomas,LAB,LAB,Harrow West,E14001271,Greater London,,20.9%,57.3%,5.0%,10.2%,5.8%,,,0.8%,LAB,,36.4%,"18,078",,"10,421","28,499","2,469","5,096","2,879",0,403,,LAB HOLD,,34.8%,53.1%,8.3%,1.8%,2.1%,0.0%,0.0%,0.0%,LAB,-14.0%,+4.2%,-3.1%,+8.2%,+3.9%,,,+0.8%
Mike Hill,LAB,LAB,Hartlepool,E14001272,North East,,17.5%,45.6%,3.8%,24.0%,3.3%,,,5.7%,LAB,,21.6%,"8,839",,"7,196","18,703","1,550","9,864","1,361",0,"2,353",,LAB HOLD,x,28.9%,37.7%,4.1%,25.8%,0.0%,0.0%,0.0%,3.4%,LAB,-11.9%,+8.5%,-0.1%,-1.8%,+3.5%,,,+1.8%
Bernard Jenkin,CON,LAB,Harwich and North Essex,E14001273,East of England,,28.9%,36.9%,8.3%,19.0%,6.7%,,,0.3%,LAB,,8.0%,"4,295",,"15,649","19,944","4,469","10,298","3,612",0,136,,LAB GAIN,,58.6%,25.9%,10.7%,0.0%,3.6%,0.0%,0.0%,1.3%,CON,-30.0%,+11.2%,-2.0%,+18.5%,+3.3%,,,-1.0%
Sally-Ann Hart,CON,LAB,Hastings and Rye,E14001274,South East,,20.1%,51.1%,5.0%,17.0%,6.5%,,,0.5%,LAB,,31.0%,"16,276",,"10,552","26,828","2,610","8,906","3,396",0,237,,LAB GAIN,x,49.1%,42.4%,7.4%,0.0%,0.1%,0.0%,0.0%,1.1%,CON,-29.3%,+9.0%,-2.2%,+16.5%,+6.6%,,,-0.6%
Alan Mak,CON,CON,Havant,E14001275,South East,,33.1%,28.9%,10.2%,20.8%,6.7%,,,0.3%,CON,,4.2%,"1,946",,"15,241","13,295","4,681","9,557","3,076",0,139,,CON HOLD,,65.4%,18.0%,12.4%,0.0%,3.5%,0.0%,0.0%,0.8%,CON,-33.0%,+11.5%,-1.8%,+20.5%,+3.4%,,,-0.4%
John McDonnell,LAB,LAB,Hayes and Harlington,E14001276,Greater London,,20.3%,57.8%,2.9%,13.2%,4.9%,,,0.8%,LAB,,37.5%,"16,507",,"8,952","25,458","1,265","5,831","2,165",0,359,,LAB HOLD,,34.7%,55.8%,4.4%,2.9%,1.7%,0.0%,0.0%,0.4%,LAB,-14.5%,+2.1%,-1.4%,+10.0%,+3.4%,,,+0.4%
William Wragg,CON,LDM,Hazel Grove,E14001277,North West,,16.6%,19.6%,43.2%,17.0%,3.3%,,,0.3%,LDM,,23.6%,"11,896",,"8,361","9,896","21,791","8,590","1,685",0,152,,LDM GAIN,x,45.6%,16.3%,37.2%,0.6%,0.3%,0.0%,0.0%,0.0%,CON,-29.4%,+3.3%,+6.7%,+16.0%,+3.1%,,,+0.3%
Mike Penning,CON,LAB,Hemel Hempstead,E14001278,East of England,,25.2%,40.4%,9.2%,19.2%,5.6%,,,0.4%,LAB,,15.2%,"7,426",,"12,383","19,810","4,498","9,420","2,766",0,188,,LAB GAIN,,55.0%,28.1%,11.4%,0.0%,2.9%,0.0%,0.0%,2.7%,CON,-30.0%,+12.5%,-1.8%,+18.8%,+2.9%,,,-2.3%
Matthew Offord,CON,LAB,Hendon,E14001279,Greater London,,31.9%,47.0%,4.2%,11.0%,4.7%,,,1.2%,LAB,,15.1%,"6,878",,"14,560","21,438","1,907","5,007","2,139",0,563,,LAB GAIN,x,48.9%,40.9%,8.6%,0.0%,1.6%,0.0%,0.0%,0.0%,CON,-17.3%,+6.2%,-4.2%,+10.8%,+3.2%,,,+1.3%
John Howell,CON,LDM,Henley and Thame,E14001280,South East,,25.3%,11.1%,40.4%,17.0%,5.6%,,,0.6%,LDM,,15.1%,"8,142",,"13,618","5,984","21,760","9,124","3,024",0,305,,LDM GAIN,,54.5%,8.9%,32.4%,0.0%,4.2%,0.0%,0.0%,0.0%,CON,-29.7%,+2.2%,+8.9%,+16.5%,+1.5%,,,+0.6%
Jesse Norman,CON,LAB,Hereford and South Herefordshire,E14001281,West Midlands,,29.5%,29.8%,11.5%,20.8%,8.0%,,,0.4%,LAB,,0.3%,152,,"13,618","13,770","5,324","9,632","3,694",0,193,,LAB GAIN,,61.7%,19.9%,13.3%,0.0%,5.1%,0.0%,0.0%,0.0%,CON,-32.5%,+10.2%,-1.3%,+20.2%,+3.0%,,,+0.4%
Roger Gale,CON,CON,Herne Bay and Sandwich,E14001282,South East,,33.2%,33.2%,6.5%,20.2%,6.8%,,,0.1%,CON,,0.0%,11,,"16,905","16,894","3,289","10,312","3,476",0,63,,CON HOLD,,64.4%,24.4%,7.5%,0.0%,3.8%,0.0%,0.0%,0.0%,CON,-30.7%,+8.2%,-0.7%,+19.7%,+3.3%,,,+0.1%
Julie Marson,CON,LAB,Hertford and Stortford,E14001283,East of England,,25.5%,36.2%,10.6%,18.8%,8.2%,,,0.6%,LAB,,10.7%,"5,970",,"14,191","20,161","5,914","10,482","4,579",0,314,,LAB GAIN,,55.7%,23.7%,14.2%,0.0%,4.7%,0.0%,0.0%,1.8%,CON,-30.5%,+12.8%,-3.1%,+18.3%,+3.6%,,,-1.2%
Oliver Dowden,CON,CON,Hertsmere,E14001284,East of England,,36.0%,32.6%,9.3%,15.9%,5.7%,,,0.4%,CON,C,3.4%,"1,779",,"18,903","17,124","4,910","8,376","3,006",0,205,,CON HOLD,,64.9%,21.1%,10.9%,0.0%,3.1%,0.0%,0.0%,0.0%,CON,-29.3%,+11.7%,-1.1%,+15.5%,+2.7%,,,+0.4%
Guy Opperman,CON,LAB,Hexham,E14001285,North East,,33.3%,47.4%,8.5%,,7.9%,,,2.9%,LAB,,14.1%,"7,632",,"17,975","25,607","4,593",0,"4,247",0,"1,548",,LAB GAIN,,54.3%,31.8%,9.4%,0.9%,3.6%,0.0%,0.0%,0.0%,CON,-21.4%,+15.7%,-0.6%,-0.9%,+4.4%,,,+2.8%
Unknown (changed seat),LAB,LAB,Heywood and Middleton North,E14001286,North West,,14.6%,50.9%,5.7%,25.2%,,,,3.7%,LAB,,25.7%,"10,898",,"6,183","21,585","2,403","10,687",0,0,"1,588",,LAB HOLD,x,41.5%,43.1%,4.2%,8.4%,2.8%,0.0%,0.0%,0.0%,LAB,-27.0%,+8.1%,+1.7%,+16.3%,-2.8%,,,+3.7%
Robert Largan,CON,LAB,High Peak,E14001287,East Midlands,,18.1%,56.0%,3.9%,17.4%,4.5%,,,0.1%,LAB,,37.9%,"20,516",,"9,790","30,307","2,100","9,413","2,461",0,68,,LAB GAIN,x,45.9%,44.8%,5.1%,2.2%,2.1%,0.0%,0.0%,0.0%,CON,-28.0%,+11.4%,-1.0%,+14.9%,+2.6%,,,+0.1%
Luke Evans,CON,CON,Hinckley and Bosworth,E14001288,East Midlands,,32.8%,21.1%,19.5%,21.2%,5.0%,,,0.3%,CON,,11.6%,"5,684",,"16,138","10,374","9,601","10,453","2,475",0,154,,CON HOLD,,64.6%,14.2%,18.2%,0.0%,2.9%,0.0%,0.0%,0.0%,CON,-32.2%,+6.3%,+2.8%,+20.7%,+2.1%,,,+0.3%
Bim Afolami,CON,LAB,Hitchin,E14001289,East of England,,20.2%,37.4%,22.6%,15.2%,3.7%,,,0.8%,LAB,,14.8%,"8,043",,"10,932","20,252","12,209","8,227","2,013",0,451,,LAB GAIN,,47.0%,26.2%,23.7%,0.0%,1.5%,0.0%,0.0%,1.6%,CON,-27.2%,+11.2%,-0.4%,+14.8%,+2.3%,,,-0.8%
Keir Starmer,LAB,LAB,Holborn and St Pancras,E14001290,Greater London,,8.0%,67.3%,6.2%,6.4%,9.1%,,,3.0%,LAB,,58.2%,"25,980",,"3,571","30,036","2,748","2,842","4,056",0,"1,353",,LAB HOLD,,15.2%,66.3%,12.3%,1.9%,4.0%,0.0%,0.0%,0.4%,LAB,-7.4%,+1.1%,-5.9%,+4.3%,+5.2%,,,+2.6%
Neil Parish,CON,LDM,Honiton and Sidmouth,E14001291,South West,,28.4%,16.5%,32.8%,15.3%,6.1%,,,0.8%,LDM,,4.4%,"2,502",,"16,155","9,361","18,656","8,715","3,486",0,441,,LDM GAIN,,60.4%,14.2%,9.6%,0.0%,2.1%,0.0%,0.0%,13.8%,CON,-32.8%,+2.4%,+23.6%,+15.5%,+4.3%,,,-13.0%
Julia Lopez,CON,CON,Hornchurch and Upminster,E14001292,Greater London,,41.0%,27.8%,3.5%,20.7%,5.9%,,,1.0%,CON,,13.2%,"6,717",,"20,934","14,217","1,778","10,596","3,035",0,527,,CON HOLD,,65.4%,22.9%,7.1%,0.0%,3.6%,0.0%,0.0%,1.0%,CON,-24.1%,+4.8%,-3.5%,+20.3%,+2.5%,,,0.0%
Catherine West,LAB,LAB,Hornsey and Friern Barnet,E14001293,Greater London,,6.2%,60.2%,17.5%,5.3%,9.7%,,,1.1%,LAB,,42.7%,"22,395",,"3,255","31,585","9,190","2,767","5,101",0,602,,LAB HOLD,,11.8%,57.3%,25.6%,0.9%,3.8%,0.0%,0.0%,0.6%,LAB,-5.7%,+2.8%,-7.9%,+4.2%,+6.1%,,,+0.5%
Jeremy Quin,CON,LDM,Horsham,E14001294,South East,,31.1%,19.8%,31.2%,12.0%,4.9%,,,1.0%,LDM,,0.1%,33,,"17,405","11,043","17,438","6,679","2,759",0,565,,LDM GAIN,,55.8%,15.6%,24.7%,0.0%,3.0%,0.0%,0.0%,0.9%,CON,-27.7%,+3.7%,+6.9%,+15.6%,+1.8%,,,-0.3%
Bridget Phillipson,LAB,LAB,Houghton and Sunderland South,E14001295,North East,,11.6%,51.3%,5.3%,25.8%,5.7%,,,0.4%,LAB,,25.5%,"11,148",,"5,083","22,461","2,325","11,313","2,482",0,159,,LAB HOLD,x,32.9%,40.4%,5.9%,15.7%,2.7%,0.0%,0.0%,2.3%,LAB,-21.5%,+11.0%,-0.3%,+9.7%,+3.1%,,,-1.9%
Peter Kyle,LAB,LAB,Hove and Portslade,E14001296,South East,,7.6%,65.5%,5.5%,10.4%,10.0%,,,1.0%,LAB,,55.1%,"31,055",,"4,300","36,930","3,093","5,875","5,655",0,547,,LAB HOLD,,28.1%,58.3%,6.6%,2.0%,4.4%,0.0%,0.0%,0.6%,LAB,-20.7%,+7.1%,-0.9%,+8.2%,+5.9%,,,+0.4%
Barry Sheerman,LAB,LAB,Huddersfield,E14001297,Yorkshire and the Humber,,9.9%,58.8%,5.2%,17.9%,8.1%,,,0.1%,LAB,,40.9%,"20,165",,"4,867","28,998","2,581","8,833","4,014",0,60,,LAB HOLD,,36.4%,51.4%,5.0%,3.4%,3.8%,0.0%,0.0%,0.0%,LAB,-26.8%,+7.5%,+0.5%,+14.1%,+4.5%,,,+0.1%
Jonathan Djanogly,CON,LAB,Huntingdon,E14001298,East of England,,29.3%,31.6%,12.9%,19.2%,6.2%,,,0.8%,LAB,,2.3%,"1,313",,"16,487","17,801","7,271","10,818","3,469",0,468,,LAB GAIN,,59.2%,20.8%,14.0%,0.0%,3.5%,0.0%,0.0%,2.5%,CON,-30.2%,+10.3%,-0.6%,+19.2%,+2.9%,,,-1.6%
Sara Britcliffe,CON,LAB,Hyndburn,E14001299,North West,,20.4%,51.1%,2.6%,21.5%,4.3%,,,0.1%,LAB,,29.6%,"12,559",,"8,649","21,679","1,094","9,120","1,809",0,51,,LAB GAIN,x,48.5%,41.5%,2.9%,5.1%,2.0%,0.0%,0.0%,0.0%,CON,-28.2%,+9.9%,-0.1%,+15.9%,+2.4%,,,+0.1%
Wes Streeting,LAB,LAB,Ilford North,E14001300,Greater London,,22.7%,57.0%,2.7%,12.3%,4.3%,,,1.0%,LAB,,34.3%,"17,780",,"11,729","29,509","1,403","6,342","2,249",0,524,,LAB HOLD,,36.7%,54.1%,4.0%,1.9%,1.4%,0.0%,0.0%,2.0%,LAB,-14.0%,+2.3%,-1.1%,+10.4%,+3.2%,,,-0.9%
Sam Tarry,LAB,LAB,Ilford South,E14001301,Greater London,,11.2%,66.2%,3.1%,11.1%,5.5%,,,2.8%,LAB,,55.0%,"25,514",,"5,199","30,713","1,437","5,134","2,563",0,"1,318",,LAB HOLD,,21.2%,65.2%,3.3%,2.2%,1.3%,0.0%,0.0%,6.7%,LAB,-10.2%,+1.2%,-0.1%,+8.6%,+4.3%,,,-3.9%
Tom Hunt,CON,LAB,Ipswich,E14001302,East of England,,21.5%,49.9%,4.1%,18.6%,5.6%,,,0.4%,LAB,,28.4%,"14,074",,"10,657","24,732","2,031","9,197","2,782",0,178,,LAB GAIN,,50.3%,39.3%,4.9%,2.9%,2.6%,0.0%,0.0%,0.0%,CON,-29.1%,+10.8%,-0.5%,+15.2%,+3.2%,,,+0.4%
Bob Seely,CON,LAB,Isle of Wight East,E14001303,South East,,22.4%,30.9%,7.1%,23.3%,15.4%,,,0.9%,LAB,,7.6%,"2,749",,"8,158","11,234","2,570","8,485","5,595",0,313,,LAB GAIN,,57.4%,24.1%,0.0%,0.0%,14.0%,0.0%,0.0%,4.5%,CON,-35.3%,+6.9%,+7.4%,+22.8%,+1.7%,,,-3.6%
Unknown (new seat),CON,LAB,Isle of Wight West,E14001304,South East,,20.9%,33.5%,7.1%,20.3%,17.4%,,,0.8%,LAB,,12.6%,"4,830",,"7,949","12,779","2,715","7,747","6,618",0,300,,LAB GAIN,,55.0%,24.5%,0.0%,0.0%,16.4%,0.0%,0.0%,4.1%,CON,-34.4%,+9.2%,+7.5%,+19.8%,+1.3%,,,-3.3%
Jeremy Corbyn,LAB,LAB,Islington North,E14001305,Greater London,,5.4%,43.5%,7.5%,5.7%,8.5%,,,29.3%,LAB,,35.0%,"7,608",,"2,925","23,390","4,039","3,083","4,556",0,"15,782",,LAB HOLD,,10.2%,64.3%,15.6%,1.4%,8.0%,0.0%,0.0%,0.4%,LAB,-4.5%,-21.1%,-7.9%,+4.2%,+0.6%,,,+28.7%
Emily Thornberry,LAB,LAB,Islington South and Finsbury,E14001306,Greater London,,8.0%,61.0%,12.3%,7.1%,10.3%,,,1.2%,LAB,,48.7%,"25,393",,"4,193","31,827","6,435","3,681","5,394",0,617,,LAB HOLD,,16.3%,57.0%,19.7%,2.3%,4.3%,0.0%,0.0%,0.4%,LAB,-8.5%,+4.0%,-7.1%,+4.6%,+6.2%,,,+0.8%
Kate Osborne,LAB,LAB,Jarrow and Gateshead East,E14001307,North East,,6.9%,55.9%,5.7%,24.1%,5.9%,,,1.5%,LAB,,31.8%,"12,887",,"2,791","22,670","2,296","9,783","2,371",0,620,,LAB HOLD,,23.7%,49.2%,6.5%,9.5%,2.5%,0.0%,0.0%,8.6%,LAB,-17.0%,+6.9%,-0.5%,+14.2%,+3.5%,,,-7.1%
Robbie Moore,CON,LAB,Keighley and Ilkley,E14001308,Yorkshire and the Humber,,21.8%,50.9%,3.9%,17.8%,4.8%,,,0.7%,LAB,,29.1%,"15,331",,"11,456","26,787","2,065","9,368","2,536",0,387,,LAB GAIN,x,48.1%,43.9%,4.9%,1.6%,0.0%,0.0%,0.0%,1.5%,CON,-25.7%,+6.3%,-0.8%,+15.9%,+5.0%,,,-0.8%
Jeremy Wright,CON,CON,Kenilworth and Southam,E14001309,West Midlands,,31.2%,28.4%,15.7%,17.2%,7.1%,,,0.3%,CON,,2.8%,"1,589",,"17,422","15,833","8,752","9,615","3,987",0,195,,CON HOLD,,59.0%,19.0%,16.9%,0.2%,4.2%,0.0%,0.0%,0.8%,CON,-28.1%,+8.6%,-0.1%,+17.0%,+3.1%,,,-0.5%
Felicity Buchan,CON,LAB,Kensington and Bayswater,E14001310,Greater London,,25.2%,48.3%,11.4%,9.5%,4.7%,,,0.8%,LAB,,23.1%,"12,615",,"13,825","26,440","6,269","5,219","2,580",0,448,,LAB HOLD,x,38.3%,39.0%,20.2%,0.8%,1.4%,0.0%,0.0%,0.3%,LAB,-13.5%,+9.5%,-8.5%,+8.6%,+3.4%,,,+0.6%
Philip Hollobone,CON,LAB,Kettering,E14001311,East Midlands,,28.8%,38.0%,5.2%,21.3%,6.0%,,,0.6%,LAB,,9.2%,"4,761",,"15,007","19,767","2,730","11,089","3,131",0,296,,LAB GAIN,,60.3%,26.9%,6.7%,0.0%,3.0%,0.0%,0.0%,3.2%,CON,-31.6%,+11.4%,-1.2%,+20.8%,+3.2%,,,-2.6%
Ed Davey,LDM,LDM,Kingston and Surbiton,E14001312,Greater London,,17.9%,11.3%,50.4%,11.7%,7.0%,,,1.7%,LDM,,32.5%,"18,580",,"10,190","6,466","28,770","6,672","4,004",0,983,,LDM HOLD,,33.1%,10.2%,52.7%,1.1%,1.6%,0.0%,0.0%,1.4%,LDM,-15.3%,+1.1%,-2.0%,+10.2%,+5.5%,,,+0.4%
Karl Turner,LAB,LAB,Kingston upon Hull East,E14001313,Yorkshire and the Humber,,11.9%,49.9%,5.7%,27.0%,5.4%,,,0.1%,LAB,,22.9%,"7,781",,"4,042","16,971","1,921","9,191","1,822",0,40,,LAB HOLD,x,34.3%,41.6%,5.0%,16.8%,2.3%,0.0%,0.0%,0.0%,LAB,-22.5%,+8.5%,+1.0%,+9.7%,+3.2%,,,+0.1%
Diana Johnson,LAB,LAB,Kingston upon Hull North and Cottingham,E14001314,Yorkshire and the Humber,,10.2%,53.0%,7.1%,22.8%,6.1%,,,0.8%,LAB,,30.2%,"13,572",,"4,585","23,810","3,210","10,238","2,748",0,349,,LAB HOLD,,33.5%,46.6%,6.5%,10.8%,2.6%,0.0%,0.0%,0.0%,LAB,-23.4%,+6.5%,+1.0%,+11.5%,+3.7%,,,+0.8%
Unknown (changed seat),CON,LAB,Kingston upon Hull West and Haltemprice,E14001315,Yorkshire and the Humber,,18.1%,45.0%,7.1%,24.7%,4.7%,,,0.4%,LAB,,20.3%,"8,421",,"7,551","18,719","2,952","10,298","1,947",0,152,,LAB GAIN,x,42.5%,33.8%,9.2%,13.5%,1.1%,0.0%,0.0%,0.0%,CON,-24.6%,+11.4%,-1.8%,+10.8%,+3.8%,,,+0.4%
Gavin Williamson,CON,CON,Kingswinford and South Staffordshire,E14001316,West Midlands,,41.0%,27.1%,5.0%,20.8%,5.9%,,,0.3%,CON,,13.9%,"7,106",,"20,923","13,818","2,559","10,594","2,989",0,164,,CON HOLD,,74.3%,16.8%,5.3%,0.0%,3.5%,0.0%,0.0%,0.0%,CON,-33.5%,+10.5%,-0.1%,+20.2%,+2.4%,,,+0.4%
George Howarth,LAB,LAB,Knowsley,E14001317,North West,,2.9%,75.6%,3.0%,11.9%,6.0%,,,0.7%,LAB,,63.7%,"29,581",,"1,328","35,089","1,402","5,508","2,784",0,329,,LAB HOLD,,8.8%,79.6%,2.5%,6.3%,2.0%,0.0%,0.0%,0.9%,LAB,-6.0%,-4.0%,+0.7%,+5.3%,+4.2%,,,-0.2%
Unknown (changed seat),CON,LAB,Lancaster and Wyre,E14001318,North West,,17.5%,51.2%,3.5%,19.5%,8.2%,,,0.1%,LAB,,31.7%,"15,682",,"8,637","25,280","1,732","9,598","4,040",0,59,,LAB GAIN,x,48.0%,41.9%,3.9%,1.8%,4.4%,0.0%,0.0%,0.0%,CON,-30.6%,+9.6%,-0.2%,+17.2%,+3.9%,,,+0.1%
Alex Sobel,LAB,LAB,Leeds Central and Headingley,E14001319,Yorkshire and the Humber,,4.7%,68.4%,8.5%,7.8%,9.7%,,,0.8%,LAB,,58.7%,"25,589",,"2,069","29,840","3,726","3,414","4,251",0,355,,LAB HOLD,,17.9%,63.4%,11.2%,4.0%,3.5%,0.0%,0.0%,0.0%,LAB,-13.4%,+4.6%,-2.3%,+3.6%,+6.6%,,,+0.8%
Richard Burgon,LAB,LAB,Leeds East,E14001320,Yorkshire and the Humber,,13.1%,53.3%,3.5%,23.6%,4.9%,,,1.6%,LAB,,29.7%,"13,209",,"5,837","23,689","1,563","10,480","2,162",0,714,,LAB HOLD,x,40.8%,47.0%,3.7%,5.9%,2.1%,0.0%,0.0%,0.6%,LAB,-27.8%,+6.0%,0.0%,+17.7%,+2.9%,,,+1.2%
Fabian Hamilton,LAB,LAB,Leeds North East,E14001321,Yorkshire and the Humber,,7.0%,63.7%,9.3%,10.5%,8.6%,,,1.0%,LAB,,53.2%,"26,845",,"3,520","32,167","4,698","5,322","4,346",0,482,,LAB HOLD,,23.6%,57.5%,11.2%,3.5%,3.8%,0.0%,0.0%,0.4%,LAB,-16.9%,+6.0%,-1.5%,+6.8%,+5.0%,,,+0.6%
Stuart Andrew,CON,LAB,Leeds North West,E14001322,Yorkshire and the Humber,,15.7%,51.8%,10.8%,15.4%,5.5%,,,0.8%,LAB,,36.1%,"20,067",,"8,754","28,821","6,010","8,567","3,062",0,425,,LAB GAIN,x,41.9%,38.3%,14.8%,1.3%,2.3%,0.0%,0.0%,1.5%,CON,-26.6%,+13.6%,-3.4%,+13.8%,+3.4%,,,-0.8%
Hilary Benn,LAB,LAB,Leeds South,E14001323,Yorkshire and the Humber,,13.8%,65.3%,6.4%,,10.3%,,,4.1%,LAB,,51.5%,"22,282",,"5,986","28,268","2,789",0,"4,465",0,"1,758",,LAB HOLD,,26.3%,58.4%,4.4%,6.4%,3.8%,0.0%,0.0%,0.7%,LAB,-12.9%,+6.9%,+2.2%,-6.4%,+6.8%,,,+3.4%
Andrea Jenkyns,CON,LAB,Leeds South West and Morley,E14001324,Yorkshire and the Humber,,20.9%,47.4%,2.6%,22.6%,5.8%,,,0.7%,LAB,,24.8%,"10,781",,"9,109","20,652","1,135","9,871","2,524",0,319,,LAB GAIN,,53.1%,36.8%,2.8%,1.8%,3.3%,0.0%,0.0%,2.2%,CON,-32.5%,+10.8%,0.0%,+20.6%,+2.7%,,,-1.5%
Unknown (new seat),LAB,LAB,Leeds West and Pudsey,E14001325,Yorkshire and the Humber,,17.0%,59.6%,3.8%,13.6%,4.6%,,,1.4%,LAB,,42.6%,"20,431",,"8,154","28,585","1,836","6,546","2,205",0,668,,LAB HOLD,x,42.2%,48.4%,3.6%,2.8%,1.4%,0.0%,0.0%,1.5%,LAB,-28.2%,+10.8%,+0.2%,+14.9%,+3.0%,,,-0.7%
Claudia Webbe,LAB,LAB,Leicester East,E14001326,East Midlands,,20.6%,47.5%,5.4%,15.7%,6.0%,,,4.9%,LAB,,26.9%,"12,969",,"9,943","22,911","2,590","7,559","2,877",0,"2,370",,LAB HOLD,,38.5%,50.9%,5.6%,2.5%,1.8%,0.0%,0.0%,0.7%,LAB,-18.1%,-3.3%,0.0%,+12.9%,+4.4%,,,+4.2%
Jonathan Ashworth,LAB,LAB,Leicester South,E14001327,East Midlands,,6.1%,66.8%,4.1%,9.8%,9.6%,,,3.7%,LAB,,57.0%,"27,073",,"2,878","31,726","1,939","4,652","4,546",0,"1,763",,LAB HOLD,,21.8%,68.2%,4.3%,2.3%,3.3%,0.0%,0.0%,0.0%,LAB,-15.8%,-2.6%,0.0%,+7.9%,+6.7%,,,+3.8%
Liz Kendall,LAB,LAB,Leicester West,E14001328,East Midlands,,10.5%,54.7%,6.2%,19.6%,8.1%,,,0.9%,LAB,,35.1%,"13,550",,"4,073","21,108","2,397","7,558","3,116",0,356,,LAB HOLD,,36.7%,49.3%,6.7%,4.5%,2.8%,0.0%,0.0%,0.0%,LAB,-26.4%,+4.7%,-0.2%,+15.4%,+5.6%,,,+0.9%
